timestamp,preprocessing_time,detection_time,matching_time,pose_estimation_time,fps,detected_keypoints,raw_matches,good_matches,inliners,match_ratio,inliner_ratio,cpu_usage,memory_usage,cpu_temperature,tracking_ok
1.783179875631343603e+09,6.720188999679521658e-03,2.947283100002096035e-02,1.621824799985915888e-02,2.669655300087470096e-02,1.264097515711511655e+01,1.098000000000000000e+03,1.102000000000000000e+03,3.920000000000000000e+02,3.050000000000000000e+02,3.557168784029038355e-01,7.780612244897958663e-01,4.089999999999999858e+01,3.410000000000000142e+01,5.689999999999999858e+01,1.000000000000000000e+00
1.783179875740046024e+09,8.902678000595187768e-03,2.999641700080246665e-02,1.853312399907736108e-02,1.811716700103715993e-02,1.323637494525745417e+01,1.141000000000000000e+03,1.098000000000000000e+03,3.310000000000000000e+02,2.830000000000000000e+02,3.014571948998178708e-01,8.549848942598187174e-01,4.289999999999999858e+01,3.400000000000000000e+01,5.739999999999999858e+01,1.000000000000000000e+00
1.783179875846795559e+09,8.325871000124607235e-03,2.961279200098942965e-02,1.731519699933414813e-02,2.114971899936790578e-02,1.308839210271036002e+01,1.124000000000000000e+03,1.141000000000000000e+03,4.130000000000000000e+02,3.540000000000000000e+02,3.619631901840490995e-01,8.571428571428570953e-01,4.000000000000000000e+01,3.410000000000000142e+01,5.989999999999999858e+01,1.000000000000000000e+00
1.783179875956213713e+09,8.369147999474080279e-03,2.754932000061671715e-02,1.650620700092986226e-02,2.100212799996370450e-02,1.361900503807300389e+01,1.131000000000000000e+03,1.124000000000000000e+03,4.320000000000000000e+02,3.830000000000000000e+02,3.843416370106761404e-01,8.865740740740740700e-01,4.150000000000000000e+01,3.410000000000000142e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179876071322203e+09,7.598973001222475432e-03,2.819629300029191654e-02,1.727376999951957259e-02,2.713321400005952455e-02,1.246847812856080573e+01,1.113000000000000000e+03,1.131000000000000000e+03,4.370000000000000000e+02,3.510000000000000000e+02,3.863837312113174161e-01,8.032036613272310888e-01,4.129999999999999716e+01,3.389999999999999858e+01,5.739999999999999858e+01,1.000000000000000000e+00
1.783179876182529211e+09,9.692462999737472273e-03,2.785318600035679992e-02,1.772111699938250240e-02,2.369044499937444925e-02,1.266508767659674994e+01,1.078000000000000000e+03,1.113000000000000000e+03,4.330000000000000000e+02,3.690000000000000000e+02,3.890386343216531984e-01,8.521939953810623303e-01,3.900000000000000000e+01,3.400000000000000000e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179876289826155e+09,7.481605000066338107e-03,2.827319899915892165e-02,1.674255500074650627e-02,2.124014400033047423e-02,1.356162006185510727e+01,1.127000000000000000e+03,1.078000000000000000e+03,3.730000000000000000e+02,3.180000000000000000e+02,3.460111317254174201e-01,8.525469168900804418e-01,4.050000000000000000e+01,3.400000000000000000e+01,5.889999999999999858e+01,1.000000000000000000e+00
1.783179876398119688e+09,9.028731999933370389e-03,2.962112500063085463e-02,1.664437200088286772e-02,2.052109800024481956e-02,1.318994508824955325e+01,1.140000000000000000e+03,1.127000000000000000e+03,4.150000000000000000e+02,3.600000000000000000e+02,3.682342502218278746e-01,8.674698795180723065e-01,4.189999999999999858e+01,3.400000000000000000e+01,5.839999999999999858e+01,1.000000000000000000e+00
1.783179876504981279e+09,7.413364999592886306e-03,2.776807599911990110e-02,1.794083500135457143e-02,2.042650699877412990e-02,1.359641804019723388e+01,1.135000000000000000e+03,1.140000000000000000e+03,4.330000000000000000e+02,3.700000000000000000e+02,3.798245614035087869e-01,8.545034642032333094e-01,4.650000000000000000e+01,3.400000000000000000e+01,5.889999999999999858e+01,1.000000000000000000e+00
1.783179876615818739e+09,5.810922999444301240e-03,3.010248900136502925e-02,1.717671699952916242e-02,2.255570099987380672e-02,1.321949934315207464e+01,1.124000000000000000e+03,1.135000000000000000e+03,4.400000000000000000e+02,3.840000000000000000e+02,3.876651982378854777e-01,8.727272727272726849e-01,4.320000000000000284e+01,3.400000000000000000e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179876727656126e+09,8.210021000195411034e-03,2.999950899902614765e-02,1.624921099937637337e-02,2.157691700085706543e-02,1.315172415562140174e+01,1.124000000000000000e+03,1.124000000000000000e+03,4.260000000000000000e+02,3.630000000000000000e+02,3.790035587188612110e-01,8.521126760563380031e-01,4.250000000000000000e+01,3.400000000000000000e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179876841147423e+09,8.106687999315909110e-03,2.970638400074676611e-02,1.823736900041694753e-02,2.225646399892866611e-02,1.277026591725922877e+01,1.129000000000000000e+03,1.124000000000000000e+03,4.330000000000000000e+02,3.660000000000000000e+02,3.852313167259786564e-01,8.452655889145496149e-01,3.860000000000000142e+01,3.410000000000000142e+01,5.839999999999999858e+01,1.000000000000000000e+00
1.783179876947625875e+09,1.094476199978089426e-02,2.960736699969857000e-02,1.578803099982906133e-02,2.018162100102927070e-02,1.306817466775355996e+01,1.093000000000000000e+03,1.129000000000000000e+03,4.180000000000000000e+02,3.620000000000000000e+02,3.702391496899911649e-01,8.660287081339712589e-01,4.150000000000000000e+01,3.410000000000000142e+01,5.839999999999999858e+01,1.000000000000000000e+00
1.783179877056858063e+09,8.451257999695371836e-03,2.969588400083011948e-02,1.661568700001225807e-02,2.047039500030223280e-02,1.329199982163246041e+01,1.129000000000000000e+03,1.093000000000000000e+03,3.780000000000000000e+02,3.210000000000000000e+02,3.458371454711802184e-01,8.492063492063491870e-01,4.650000000000000000e+01,3.400000000000000000e+01,5.939999999999999858e+01,1.000000000000000000e+00
