timestamp,pixel_x,pixel_y,world_x_m,world_y_m,elapsed_time
1783179875.5499446,1297,382,1.0391212564627161,-0.4626202821874185,18.119236946105957
1783179875.6162412,1296,383,1.0387464482663586,-0.4617390544139617,18.18553352355957
1783179875.6911905,1297,383,1.0394103219820705,-0.461171855081091,18.260482788085938
1783179875.7680287,1297,384,1.0396947591304113,-0.4581265860318842,18.337321043014526
1783179875.8473017,1297,385,1.0416699930212518,-0.454996622082999,18.4165940284729
1783179875.9112551,1297,388,1.0418039207666605,-0.4475236954633192,18.480547428131104
1783179875.9860406,1297,388,1.0403019952266301,-0.4455081388406195,18.555332899093628
1783179876.0603008,1297,389,1.0409338125788592,-0.4446551212020763,18.62959313392639
1783179876.1446292,1297,390,1.0402311292403048,-0.44178703672106057,18.713921546936035
1783179876.2185774,1297,392,1.040593325495108,-0.43510890957411,18.787869691848755
1783179876.2965264,1297,393,1.0411477275096543,-0.4324923430126245,18.865818738937378
1783179876.3560338,1298,394,1.0434154422598614,-0.4297456932723365,18.925326108932495
1783179876.4326484,1298,394,1.0434154422598614,-0.4297456932723365,19.001940727233887
1783179876.4996898,1297,397,1.040633331535677,-0.4222042223313076,19.068982124328613
1783179876.570214,1297,398,1.0411597217703519,-0.4194527418094342,19.139506340026855
1783179876.649579,1298,399,1.043307352842123,-0.4148745395054244,19.218871355056763
1783179876.7138696,1298,400,1.0429694827728746,-0.4134661057463624,19.283161878585815
1783179876.7816505,1297,401,1.0412822031140416,-0.4115193444674915,19.350942850112915
1783179876.8536181,1298,402,1.04276096587348,-0.4076852228208337,19.422910451889038
1783179876.9255188,1297,403,1.0415881587457738,-0.40393708061869715,19.494811058044434
1783179877.00328,1297,404,1.0408103605255028,-0.40152552396120655,19.572572231292725
1783179877.0751843,1297,405,1.0419615567223353,-0.3978477959928342,19.644476652145386
1783179877.1478624,1298,406,1.0426034008632206,-0.39699662812644526,19.71715474128723
1783179877.221689,1298,407,1.042696860762987,-0.3945962732369171,19.79098129272461
1783179877.2853515,1299,408,1.0463957306504674,-0.3900968338476934,19.85464382171631
1783179877.3628044,1298,410,1.0443669502413997,-0.3852446565823451,19.93209671974182
1783179877.4253125,1298,410,1.043882932858661,-0.3837539096184899,19.99460482597351
1783179877.4898283,1297,411,1.0422138824970693,-0.38146973535047934,20.059120655059814
1783179877.5603368,1297,413,1.0423872435119435,-0.37694582236410845,20.129629135131836
1783179877.6343424,1298,414,1.043458555137394,-0.37447273541264425,20.20363473892212
1783179877.7094598,1298,414,1.043792061779072,-0.37282925342212275,20.278752088546753
1783179877.7827067,1298,416,1.0455160770211238,-0.369667296953351,20.351999044418335
1783179877.858413,1298,416,1.0436953225622894,-0.3675769649978374,20.42770528793335
1783179877.9362905,1298,418,1.0455476681305829,-0.3632044248135718,20.505582809448242
1783179878.011126,1299,420,1.0472580337352964,-0.358095100118828,20.580418348312378
1783179878.0876179,1299,420,1.0468194207983919,-0.35598756070338466,20.656910181045532
1783179878.1470048,1298,422,1.0449448858090833,-0.3524382966680649,20.716297149658203
1783179878.212781,1298,422,1.0449448858090833,-0.3524382966680649,20.782073259353638
1783179878.2812173,1298,423,1.0452078444874204,-0.3479934213402483,20.850509643554688
1783179878.3490727,1298,425,1.045384873897118,-0.34288256862182653,20.918365001678467
1783179878.4130259,1298,426,1.045178215184935,-0.3412540148997132,20.98231816291809
1783179878.4854462,1298,427,1.0456907198883347,-0.3390657253388189,21.054738521575928
1783179878.5588233,1298,427,1.0454087857427776,-0.33767118085575476,21.1281156539917
1783179878.621012,1299,428,1.0462514635046969,-0.3337781228730366,21.190304279327393
1783179878.700357,1299,430,1.0474994816238659,-0.3294671505592581,21.269649267196655
1783179878.7720459,1299,431,1.0471195376065192,-0.3270938652363527,21.34133815765381
1783179878.8449955,1298,432,1.0461100242745178,-0.3249196392866412,21.41428780555725
1783179878.9194615,1299,433,1.0473006482389415,-0.3216120530670704,21.48875379562378
1783179878.9921706,1299,434,1.0483883218473538,-0.31952814371947075,21.561462879180908
1783179879.0694141,1299,435,1.049204539480569,-0.31446021790384254,21.63870644569397
1783179879.1437461,1299,436,1.0483608589800664,-0.312138334833648,21.713038444519043
1783179879.2197657,1299,437,1.0473522755896068,-0.3098177382289469,21.789057970046997
1783179879.295993,1299,438,1.0480328012049622,-0.30660722180587824,21.865285396575928
1783179879.3707266,1299,440,1.047957791375701,-0.30111678931028985,21.940018892288208
1783179879.4469445,1299,441,1.0477011443302378,-0.2985368552220443,22.016236782073975
1783179879.5172095,1299,442,1.0481337933410955,-0.29661558225655243,22.086501836776733
1783179879.580796,1299,443,1.047934754637608,-0.292047808619863,22.1500883102417
1783179879.6446223,1299,445,1.0489887791410053,-0.2883745049192373,22.21391463279724
1783179879.7097816,1299,446,1.048037121323636,-0.28549775670183336,22.27907395362854
1783179879.7719355,1299,447,1.0474748296842016,-0.28301608999609373,22.341227769851685
1783179879.845217,1299,448,1.0470613191502056,-0.28007216596356543,22.414509296417236
1783179879.9233022,1299,449,1.0477574679755388,-0.27683714823489525,22.492594480514526
1783179879.9950328,1299,449,1.0479414127002555,-0.27507001117244584,22.564325094223022
